num_keywords,has_link,message_length,all_caps_words,is_spam
9,1,286,6,1
2,0,150,5,0
9,0,479,0,1
0,1,284,0,0
7,0,299,1,1
4,0,343,5,1
3,1,390,13,1
7,0,461,5,1
6,1,382,1,1
1,1,61,0,0
0,1,36,9,1
3,0,166,4,1
7,0,248,4,1
1,0,165,1,0
2,1,300,5,1
0,0,145,8,1
0,1,153,1,0
2,1,115,9,1
4,0,429,1,1
2,1,167,2,1
0,0,155,12,1
0,0,11,6,1
7,0,442,5,1
9,0,86,11,1
1,0,141,7,1
2,1,99,14,1
1,1,354,7,1
2,1,359,5,1
6,0,468,11,1
0,0,272,10,1
9,0,360,9,1
7,1,117,2,1
9,0,83,2,1
9,1,48,14,1
9,1,406,0,1
1,0,168,6,1
2,0,80,4,1
8,1,456,3,1
6,0,321,9,1
3,1,250,14,1
9,0,435,3,1
4,0,454,13,1
1,1,307,3,1
7,0,449,5,1
3,1,45,14,1
8,0,93,7,1
4,1,461,7,1
8,1,383,4,1
3,0,272,14,1
9,1,319,5,1
4,0,394,3,1
8,0,181,11,1
7,0,385,13,1
2,1,182,10,1
0,1,371,12,1
2,0,56,8,1
3,0,388,7,1
1,1,150,9,1
0,0,384,11,1
6,0,415,9,1
7,1,127,0,1
6,0,286,14,1
4,1,223,1,1
0,0,229,8,1
6,1,402,7,1
6,0,35,13,1
8,0,18,2,1
2,1,280,7,1
8,0,19,11,1
0,1,481,0,0
0,0,387,9,1
3,1,130,3,1
8,1,134,2,1
5,1,179,5,1
2,1,81,6,1
0,0,161,3,0
3,0,217,6,1
8,1,58,8,1
2,1,163,10,1
8,1,356,1,1
6,0,302,10,1
3,0,77,2,1
2,0,59,4,1
9,0,161,2,1
4,1,28,10,1
4,1,109,7,1
2,1,69,11,1
8,0,176,9,1
3,0,211,7,1
4,0,354,7,1
3,1,155,11,1
4,1,412,11,1
6,0,173,8,1
8,1,467,3,1
6,0,490,4,1
4,0,448,4,1
9,1,251,7,1
9,0,78,6,1
6,1,184,8,1
9,0,58,14,1
4,1,492,14,1
2,1,117,13,1
6,1,235,7,1
1,0,170,1,0
8,0,128,9,1
9,1,158,11,1
9,1,474,3,1
0,0,159,5,1
5,0,441,11,1
6,0,302,1,1
7,1,152,6,1
9,0,428,2,1
8,0,485,12,1
1,1,464,2,1
9,0,169,10,1
1,0,20,1,0
4,0,147,10,1
4,1,466,7,1
5,1,87,5,1
2,1,86,0,0
7,1,450,11,1
0,1,263,0,0
5,1,418,6,1
3,1,267,7,1
0,0,329,4,1
6,0,300,11,1
8,1,272,10,1
3,0,94,4,0
3,0,155,3,1
5,1,332,13,1
2,0,51,5,1
5,0,383,13,1
6,0,134,5,1
9,0,176,2,1
9,0,434,8,1
2,1,250,11,1
6,1,468,10,1
2,1,496,13,1
1,0,289,6,1
9,1,197,0,1
3,0,311,14,1
7,0,28,12,1
8,0,77,6,1
6,0,227,4,1
0,1,111,4,1
2,1,51,13,1
8,0,297,12,1
0,1,176,1,0
8,0,118,3,1
7,1,45,11,1
0,1,241,5,1
5,0,238,9,1
4,1,362,14,1
5,0,173,10,1
9,1,396,6,1
4,0,82,10,1
5,0,145,4,1
4,1,362,8,1
4,1,388,2,1
3,0,79,0,0
2,1,434,3,1
2,1,496,8,1
3,0,205,3,1
8,0,278,1,1
1,1,58,9,1
8,0,325,13,1
0,0,139,13,1
0,0,453,4,0
4,1,14,2,1
5,1,437,12,1
5,0,36,11,1
2,1,169,12,1
6,0,158,8,1
8,1,273,3,1
9,0,239,5,1
7,0,209,1,1
5,1,59,5,1
7,0,76,2,1
4,1,309,11,1
7,1,390,11,1
9,0,67,8,1
3,0,268,10,1
9,1,351,1,1
7,0,335,14,1
9,0,139,11,1
1,0,224,11,1
4,0,181,8,1
8,0,267,4,1
3,1,111,7,1
5,1,218,1,1
0,0,300,5,1
8,0,363,2,1
0,0,480,11,1
4,1,295,11,1
3,0,125,13,1
2,1,273,9,1
5,1,159,4,1
1,1,309,11,1
2,0,451,7,1
4,1,45,9,1
8,0,462,13,1
1,1,342,0,0
9,0,486,4,1
7,1,296,2,1
1,0,312,3,0
4,1,320,1,1
6,0,217,8,1
7,0,115,2,1
0,0,455,14,1
5,0,167,1,1
0,1,130,9,1
1,1,64,10,1
0,0,409,8,1
4,1,21,6,1
9,0,154,5,1
8,0,409,0,1
5,1,405,4,1
0,0,145,11,1
0,0,477,10,1
1,1,12,13,1
8,0,153,14,1
2,0,39,10,1
0,0,246,2,0
4,0,288,0,0
6,1,357,3,1
5,1,124,12,1
0,1,113,1,0
4,0,127,1,0
4,0,14,2,1
5,1,477,7,1
2,0,369,7,1
4,0,257,11,1
6,0,373,14,1
4,0,330,6,1
4,1,130,5,1
4,1,295,8,1
9,1,158,3,1
9,0,93,11,1
2,1,463,0,0
0,1,415,7,1
4,0,475,6,1
8,0,465,6,1
0,1,240,14,1
2,1,297,2,1
3,1,170,3,1
0,1,281,9,1
0,0,469,8,0
7,1,47,14,1
1,1,235,5,1
7,0,151,14,1
6,1,301,14,1
9,0,490,4,1
9,0,160,2,1
1,0,123,8,1
5,1,246,4,1
5,1,75,4,1
2,0,370,13,1
1,1,350,3,1
0,1,267,13,1
5,0,484,3,1
4,0,258,11,1
8,1,466,0,1
0,0,458,6,1
6,1,340,8,1
4,1,332,2,1
4,1,189,11,1
1,1,199,12,1
2,0,416,14,1
6,0,163,1,1
5,0,205,2,1
1,0,475,0,0
5,1,320,5,1
1,1,271,10,1
1,0,428,10,1
1,1,415,6,1
2,1,436,10,1
1,1,152,10,1
3,0,351,1,1
8,0,325,7,1
5,0,110,13,1
0,1,253,5,1
7,0,499,13,1
6,0,21,3,1
9,0,248,4,1
2,0,58,7,1
0,0,51,13,1
4,0,175,2,1
3,1,91,2,1
9,1,438,13,1
7,0,300,14,1
0,0,167,13,1
9,1,225,10,1
0,1,499,3,0
3,0,167,0,1
7,0,471,8,1
4,0,143,7,1
1,0,76,7,1
5,1,345,13,1
4,0,16,9,1
1,0,445,5,1
2,0,23,6,1
8,0,82,5,1
6,1,408,8,1
6,1,414,2,1
5,1,172,13,1
7,0,75,2,1
3,0,356,2,0
7,1,139,9,1
3,0,428,2,1
7,0,475,8,1
8,1,215,11,1
2,1,285,3,1
2,1,475,12,1
1,1,265,6,1
9,0,275,13,1
2,0,34,14,1
2,1,459,8,1
4,0,290,10,1
4,1,262,11,1
1,1,319,6,1
9,0,298,8,1
5,1,173,11,1
4,0,104,2,1
5,0,279,14,1
0,0,330,3,0
4,0,119,13,1
8,1,345,7,1
9,0,319,5,1
1,1,247,4,1
0,1,390,12,1
9,1,445,3,1
8,1,396,7,1
9,0,492,0,1
8,0,434,13,1
8,1,399,8,1
5,1,34,0,1
7,0,150,7,1
0,1,126,3,0
9,0,491,8,1
3,1,401,13,1
0,0,414,10,1
7,1,491,4,1
0,1,461,2,0
2,0,34,8,1
3,1,88,10,1
7,1,77,13,1
5,0,182,13,1
9,1,453,8,1
6,0,21,3,1
7,0,297,10,1
1,1,137,3,1
9,1,105,11,1
7,1,101,7,1
2,1,150,1,1
6,1,40,8,1
2,1,343,12,1
6,1,29,13,1
1,0,155,5,1
9,1,486,8,1
5,0,325,7,1
2,1,456,14,1
2,1,399,14,1
8,0,169,6,1
6,1,358,12,1
4,1,52,13,1
9,0,263,0,1
6,1,139,13,1
8,1,69,11,1
0,1,160,2,1
6,0,476,10,1
5,1,296,13,1
9,1,14,1,1
8,1,476,4,1
0,1,427,14,1
3,0,275,4,1
8,0,354,4,1
3,1,139,3,1
9,1,391,4,1
2,0,276,2,1
8,0,187,11,1
1,1,262,0,0
3,0,424,4,1
5,1,65,12,1
1,0,472,8,1
7,0,466,12,1
7,0,480,8,1
0,0,92,3,0
2,1,402,2,0
9,0,108,0,1
8,0,158,1,1
4,1,338,7,1
5,0,165,0,1
3,0,199,7,1
9,1,380,12,1
1,0,272,6,1
7,1,89,14,1
5,1,409,7,1
4,1,261,11,1
8,1,106,5,1
0,0,269,11,1
4,1,269,13,1
5,0,112,14,1
4,0,49,14,1
5,0,282,8,1
5,0,110,2,1
6,0,368,9,1
3,0,389,3,1
7,0,317,12,1
6,0,230,5,1
8,0,317,7,1
6,0,429,4,1
2,1,133,2,1
2,1,431,5,1
7,1,240,3,1
4,0,187,8,1
3,1,72,12,1
7,1,494,2,1
5,1,125,3,1
1,0,200,6,1
3,0,71,6,1
3,0,265,11,1
5,0,492,11,1
5,1,16,3,1
0,1,164,5,1
7,1,101,11,1
5,1,479,12,1
2,0,23,2,1
8,0,464,5,1
1,0,238,11,1
7,1,95,1,1
9,0,142,7,1
2,0,192,1,1
4,1,395,10,1
5,1,71,6,1
9,0,228,8,1
5,0,414,0,1
3,0,255,7,1
2,0,239,6,1
3,0,88,5,1
0,0,158,5,0
3,1,147,5,1
0,1,480,8,1
0,1,323,1,0
9,0,385,0,1
5,1,432,12,1
4,0,398,11,1
3,0,74,5,1
2,1,22,9,1
0,0,222,10,1
5,0,483,7,1
1,1,251,2,1
7,1,222,11,1
9,1,190,9,1
4,0,347,0,0
6,1,494,8,1
9,1,182,12,1
1,0,169,12,1
7,1,173,0,1
1,1,474,2,1
3,1,492,7,1
0,0,197,13,1
4,0,404,2,1
8,0,200,12,1
0,0,414,3,0
8,1,317,7,1
7,0,265,0,1
5,0,192,12,1
6,1,126,12,1
2,1,291,5,1
0,1,205,0,0
4,0,43,13,1
1,0,61,0,0
4,0,121,13,1
7,1,261,7,1
8,1,91,10,1
1,0,241,3,0
2,1,236,11,1
2,1,242,0,1
0,1,230,9,1
7,0,445,6,1
5,1,422,4,1
7,1,431,4,1
8,0,51,0,1
4,0,30,13,1
2,1,51,9,1
4,1,406,10,1
4,0,122,5,1
4,0,114,13,1
2,1,201,8,1
9,1,26,8,1
3,1,129,7,1
8,1,402,4,1
9,0,434,0,1
8,1,138,8,1
1,1,139,0,0
7,0,69,7,1
7,1,57,4,1
6,0,38,2,1
7,1,106,10,1
2,1,19,6,1
5,0,251,6,1
0,0,323,8,1
6,1,453,6,1
0,1,241,12,1
8,1,286,10,1
0,0,293,13,1
0,1,212,2,0
6,0,256,10,1
1,0,299,12,1
4,1,273,14,1
7,0,452,13,1
7,1,223,12,1
2,1,209,0,1
6,1,442,7,1
2,1,88,11,1
5,1,410,2,1
5,0,453,11,1
2,0,352,7,1
6,1,353,7,1
2,1,182,12,1
7,0,476,4,1
9,0,78,12,1
3,0,425,11,1
0,0,437,12,1
3,1,458,0,1
6,1,96,12,1
3,0,110,9,1
5,1,17,6,1
8,0,342,11,1
0,1,209,9,1
4,0,96,4,1
6,1,52,7,1
0,0,394,8,1
3,0,118,10,1
5,1,444,13,1
1,0,417,6,1
9,1,492,13,1
4,1,161,12,1
9,0,26,14,1
0,1,142,6,1
5,1,157,0,1
5,1,286,14,1
3,1,241,3,1
7,1,323,1,1
3,0,424,1,1
7,1,375,1,1
7,1,237,3,1
4,1,148,13,1
3,1,445,0,1
1,1,408,14,1
2,0,220,3,1
2,1,400,1,1
3,0,37,4,1
3,0,60,2,1
9,0,451,14,1
4,0,270,11,1
3,1,270,7,1
9,0,359,3,1
7,0,361,0,1
5,1,17,0,1
5,1,329,11,1
7,1,147,9,1
6,0,47,2,1
9,1,120,14,1
9,1,489,8,1
7,0,377,6,1
1,1,229,1,0
8,1,346,14,1
