course_id,course_name,category,difficulty_level,duration_hours,rating,tags
C145,Advanced Network Security,Cyber Security,Advanced,76,4.4,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C196,Basic Android Development,Mobile Development,Beginner,15,3.9,"Kotlin,React Native,Swift"
C173,Deep Dive into Azure Fundamentals,Cloud Computing,Advanced,73,3.9,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C138,Professional Network Security,Cyber Security,Advanced,63,4.2,"Cryptography,Networking,Security Fundamentals"
C005,Advanced Topics in React,Web Development,Intermediate,47,5.0,"CSS,Frontend Development,JavaScript,MongoDB,Next.js,Node.js,React,Vue"
C136,Introduction to Ethical Hacking,Cyber Security,Beginner,13,3.7,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C237,Deep Dive into UI/UX Design,UI/UX Design,Advanced,68,4.9,"UI Design,UX Design,User Research,Wireframing"
C112,Applied AI,Artificial Intelligence,Intermediate,40,4.2,"Deep Learning,LLMs,Neural Networks,PyTorch,Python,TensorFlow"
C076,Fundamentals of Applied ML,Machine Learning,Beginner,5,4.5,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C252,Advanced DevOps,DevOps,Advanced,64,4.7,"CI/CD,Docker,Jenkins,Kubernetes,Linux"
C042,Intermediate Data Visualization,Data Science,Intermediate,35,3.5,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C296,Intermediate System Design Interviews,Data Structures & Algorithms,Intermediate,21,3.9,"Algorithms,Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C047,Basic Data Analysis with Python,Data Science,Beginner,16,4.7,"Data Visualization,Matplotlib,NumPy,Pandas,Statistics"
C176,Advanced GCP for Developers,Cloud Computing,Advanced,81,4.1,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C177,Getting Started with GCP for Developers,Cloud Computing,Beginner,14,4.0,"AWS,Cloud Architecture,Serverless Computing"
C238,Applied User Experience Research,UI/UX Design,Intermediate,36,4.0,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C104,Intermediate Deep Learning with TensorFlow,Artificial Intelligence,Intermediate,36,3.7,"Deep Learning,Generative AI,LLMs,Neural Networks,TensorFlow"
C218,Deep Dive into User Experience Research,UI/UX Design,Advanced,95,5.0,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C131,Mastering Cyber Security,Cyber Security,Intermediate,45,3.8,"Cryptography,Networking,Security Fundamentals"
C021,Expert React,Web Development,Advanced,50,3.9,"Angular,Express.js,Frontend Development,HTML,JavaScript,Vue"
C124,Fundamentals of Cyber Security,Cyber Security,Beginner,5,4.9,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C087,Deep Dive into Scikit-Learn,Machine Learning,Advanced,71,4.5,"Data Preprocessing,Feature Engineering,Machine Learning,Scikit-Learn"
C038,Advanced Topics in Data Science,Data Science,Intermediate,48,4.9,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C062,Deep Dive into Applied ML,Machine Learning,Advanced,82,4.1,"Feature Engineering,Machine Learning,Model Evaluation"
C060,Advanced Topics in Data Visualization,Data Science,Intermediate,33,3.9,"Matplotlib,NumPy,Pandas,Python,Statistics"
C046,Mastering Data Visualization,Data Science,Intermediate,33,3.6,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C035,Expert Data Analysis with Python,Data Science,Advanced,62,3.9,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C172,Introduction to Cloud Computing with AWS,Cloud Computing,Beginner,18,4.5,"AWS,Azure,GCP,Serverless Computing"
C105,Basic Deep Learning with TensorFlow,Artificial Intelligence,Beginner,7,4.6,"Deep Learning,Generative AI,LLMs,Neural Networks,PyTorch,Python,TensorFlow"
C150,Deep Dive into Network Security,Cyber Security,Advanced,52,4.7,"Ethical Hacking,Networking,Penetration Testing"
C235,Expert UI/UX Design,UI/UX Design,Advanced,76,3.7,"UI Design,User Research,Wireframing"
C241,Fundamentals of Docker & Kubernetes,DevOps,Beginner,7,4.4,"CI/CD,Docker,Jenkins,Kubernetes,Linux"
C200,Applied iOS with Swift,Mobile Development,Intermediate,24,4.1,"Flutter,Kotlin,React Native,Swift,iOS"
C057,Professional Data Visualization,Data Science,Advanced,73,4.6,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C263,Advanced Topics in Docker & Kubernetes,DevOps,Intermediate,46,3.8,"CI/CD,Jenkins,Linux"
C065,Fundamentals of Scikit-Learn,Machine Learning,Beginner,8,4.0,"Data Preprocessing,Feature Engineering,Machine Learning,Python,Scikit-Learn"
C194,Professional React Native,Mobile Development,Advanced,83,4.9,"Android,Kotlin,Swift"
C266,Intermediate Docker & Kubernetes,DevOps,Intermediate,29,4.7,"CI/CD,Docker,Jenkins,Kubernetes,Linux"
C007,Applied Web Development,Web Development,Intermediate,30,4.0,"Angular,CSS,HTML,JavaScript,React"
C050,Professional Data Analysis with Python,Data Science,Advanced,63,4.4,"Data Visualization,Matplotlib,NumPy,Pandas,Statistics"
C226,Professional Figma for Designers,UI/UX Design,Advanced,98,4.2,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C262,Fundamentals of DevOps,DevOps,Beginner,18,4.2,"CI/CD,Docker,Jenkins,Kubernetes,Linux,Terraform"
C011,Intermediate Node.js,Web Development,Intermediate,22,4.8,"CSS,Frontend Development,HTML,JavaScript,Node.js,React"
C289,Mastering DSA,Data Structures & Algorithms,Intermediate,45,4.2,"Algorithms,Competitive Programming,Problem Solving,Python,System Design"
C265,Applied Docker & Kubernetes,DevOps,Intermediate,33,4.6,"CI/CD,Docker,Jenkins,Kubernetes,Linux,Terraform"
C064,Mastering Machine Learning,Machine Learning,Intermediate,36,4.6,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C169,Advanced Topics in Cloud Computing with AWS,Cloud Computing,Intermediate,31,3.9,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C219,Applied UI/UX Design,UI/UX Design,Intermediate,42,3.8,"Figma,Prototyping,UI Design,UX Design,Wireframing"
C149,Advanced Topics in Ethical Hacking,Cyber Security,Intermediate,36,4.2,"Cryptography,Networking,Penetration Testing"
C079,Deep Dive into Machine Learning,Machine Learning,Advanced,60,3.8,"Feature Engineering,Model Evaluation,Python,Scikit-Learn"
C096,Mastering PyTorch for AI,Artificial Intelligence,Intermediate,35,3.9,"Deep Learning,Neural Networks,PyTorch,Python"
C244,Applied DevOps,DevOps,Intermediate,26,4.5,"CI/CD,Kubernetes,Linux"
C163,Applied Cloud Computing with AWS,Cloud Computing,Intermediate,50,4.0,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C129,Intermediate Network Security,Cyber Security,Intermediate,21,4.9,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C067,Applied Scikit-Learn,Machine Learning,Intermediate,34,4.2,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C220,Getting Started with User Experience Research,UI/UX Design,Beginner,17,4.9,"Figma,UX Design,Wireframing"
C056,Intermediate Data Analysis with Python,Data Science,Intermediate,42,5.0,"Data Visualization,NumPy,Pandas,Python,Statistics"
C167,Introduction to Azure Fundamentals,Cloud Computing,Beginner,17,4.6,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C053,Advanced Data Science,Data Science,Advanced,58,4.3,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C210,Applied React Native,Mobile Development,Intermediate,35,3.8,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C123,Introduction to Cyber Security,Cyber Security,Beginner,11,3.8,"Cryptography,Ethical Hacking,Penetration Testing"
C083,Advanced Applied ML,Machine Learning,Advanced,99,4.3,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C078,Advanced Topics in Applied ML,Machine Learning,Intermediate,27,4.0,"Data Preprocessing,Feature Engineering,Python,Scikit-Learn"
C231,Basic Figma for Designers,UI/UX Design,Beginner,19,3.6,"Prototyping,UI Design,Wireframing"
C103,Intermediate AI,Artificial Intelligence,Intermediate,39,4.5,"Generative AI,LLMs,PyTorch,TensorFlow"
C140,Professional Ethical Hacking,Cyber Security,Advanced,89,3.9,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C132,Getting Started with Ethical Hacking,Cyber Security,Beginner,9,4.9,"Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C033,Getting Started with Data Science,Data Science,Beginner,13,4.9,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C110,Advanced Topics in AI,Artificial Intelligence,Intermediate,35,4.3,"Generative AI,PyTorch,TensorFlow"
C224,Mastering UI/UX Design,UI/UX Design,Intermediate,43,4.2,"Figma,Prototyping,UI Design,User Research,Wireframing"
C081,Expert Applied ML,Machine Learning,Advanced,54,4.6,"Data Preprocessing,Feature Engineering,Machine Learning,Scikit-Learn"
C029,Advanced React,Web Development,Advanced,62,4.1,"CSS,Frontend Development,JavaScript,Node.js,React,Vue"
C203,Basic React Native,Mobile Development,Beginner,8,4.3,"Android,Flutter,Kotlin,React Native,Swift"
C089,Introduction to Scikit-Learn,Machine Learning,Beginner,6,4.7,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C045,Mastering Data Science,Data Science,Intermediate,30,3.7,"Data Visualization,NumPy,Pandas,Python,Statistics"
C039,Applied Data Visualization,Data Science,Intermediate,47,4.6,"Matplotlib,Pandas,Statistics"
C164,Expert GCP for Developers,Cloud Computing,Advanced,96,3.5,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C001,Fundamentals of Full-Stack Development,Web Development,Beginner,11,3.8,"CSS,Frontend Development,HTML,JavaScript,Next.js,Node.js,React"
C111,Fundamentals of AI,Artificial Intelligence,Beginner,18,4.4,"Deep Learning,Generative AI,LLMs,Neural Networks,PyTorch,Python,TensorFlow"
C153,Advanced Topics in Azure Fundamentals,Cloud Computing,Intermediate,47,3.7,"AWS,Cloud Architecture,GCP,Serverless Computing"
C182,Fundamentals of React Native,Mobile Development,Beginner,12,3.7,"React Native,Swift,iOS"
C114,Advanced AI,Artificial Intelligence,Advanced,67,3.7,"Deep Learning,Generative AI,Neural Networks,Python,TensorFlow"
C068,Getting Started with Machine Learning,Machine Learning,Beginner,16,4.7,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C010,Getting Started with Full-Stack Development,Web Development,Beginner,17,4.9,"CSS,Express.js,Frontend Development,MongoDB"
C192,Intermediate Android Development,Mobile Development,Intermediate,34,3.9,"Android,Flutter,React Native,Swift,iOS"
C197,Getting Started with Android Development,Mobile Development,Beginner,14,4.6,"Android,Flutter,Kotlin,React Native"
C091,Expert AI,Artificial Intelligence,Advanced,74,4.0,"Deep Learning,Generative AI,Neural Networks,PyTorch,Python,TensorFlow"
C098,Basic AI,Artificial Intelligence,Beginner,6,3.7,"Deep Learning,Generative AI,LLMs,Neural Networks,Python,TensorFlow"
C061,Professional Scikit-Learn,Machine Learning,Advanced,51,4.6,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C099,Getting Started with PyTorch for AI,Artificial Intelligence,Beginner,14,3.7,"Deep Learning,Generative AI,PyTorch,TensorFlow"
C142,Deep Dive into Cyber Security,Cyber Security,Advanced,54,4.3,"Cryptography,Networking,Penetration Testing,Security Fundamentals"
C260,Professional Docker & Kubernetes,DevOps,Advanced,64,4.0,"CI/CD,Docker,Jenkins,Kubernetes,Terraform"
C225,Introduction to UI/UX Design,UI/UX Design,Beginner,9,4.8,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C247,Applied CI/CD Pipelines,DevOps,Intermediate,46,4.8,"CI/CD,Docker,Kubernetes,Linux"
C109,Advanced Deep Learning with TensorFlow,Artificial Intelligence,Advanced,64,4.3,"Deep Learning,Generative AI,LLMs,Neural Networks,PyTorch,Python"
C128,Introduction to Network Security,Cyber Security,Beginner,16,3.7,"Cryptography,Ethical Hacking,Networking,Security Fundamentals"
C115,Professional PyTorch for AI,Artificial Intelligence,Advanced,64,4.7,"Generative AI,LLMs,Neural Networks,PyTorch,TensorFlow"
C180,Professional GCP for Developers,Cloud Computing,Advanced,86,4.9,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C073,Introduction to Applied ML,Machine Learning,Beginner,9,4.2,"Data Preprocessing,Feature Engineering,Model Evaluation,Python,Scikit-Learn"
C108,Expert PyTorch for AI,Artificial Intelligence,Advanced,86,3.7,"Generative AI,LLMs,Neural Networks,TensorFlow"
C261,Introduction to DevOps,DevOps,Beginner,18,4.4,"CI/CD,Docker,Kubernetes,Linux"
C175,Mastering Cloud Computing with AWS,Cloud Computing,Intermediate,27,3.6,"AWS,Azure,GCP,Serverless Computing"
C122,Basic Ethical Hacking,Cyber Security,Beginner,8,3.9,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C190,Mastering Android Development,Mobile Development,Intermediate,49,4.6,"React Native,Swift,iOS"
C146,Professional Cyber Security,Cyber Security,Advanced,99,4.7,"Ethical Hacking,Networking,Security Fundamentals"
C174,Professional Cloud Computing with AWS,Cloud Computing,Advanced,63,4.8,"AWS,Azure,Cloud Architecture,GCP"
C239,Fundamentals of UI/UX Design,UI/UX Design,Beginner,12,3.8,"Prototyping,UI Design,UX Design,User Research,Wireframing"
C085,Getting Started with Scikit-Learn,Machine Learning,Beginner,16,4.4,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation"
C288,Professional System Design Interviews,Data Structures & Algorithms,Advanced,75,4.3,"Competitive Programming,Data Structures,Problem Solving,Python"
C295,Applied DSA,Data Structures & Algorithms,Intermediate,38,4.0,"Algorithms,Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C243,Getting Started with DevOps,DevOps,Beginner,18,4.8,"CI/CD,Jenkins,Kubernetes,Linux"
C160,Deep Dive into Cloud Computing with AWS,Cloud Computing,Advanced,58,4.0,"AWS,Cloud Architecture,GCP"
C215,Applied Figma for Designers,UI/UX Design,Intermediate,26,4.6,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C280,Getting Started with Advanced Algorithms,Data Structures & Algorithms,Beginner,7,3.9,"Algorithms,Competitive Programming,Python"
C120,Deep Dive into PyTorch for AI,Artificial Intelligence,Advanced,58,4.5,"Deep Learning,LLMs,Neural Networks,PyTorch,Python,TensorFlow"
C158,Fundamentals of Azure Fundamentals,Cloud Computing,Beginner,20,4.3,"AWS,Azure,Serverless Computing"
C206,Intermediate React Native,Mobile Development,Intermediate,49,4.3,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C255,Expert DevOps,DevOps,Advanced,71,3.6,"CI/CD,Docker,Jenkins,Kubernetes,Terraform"
C201,Deep Dive into React Native,Mobile Development,Advanced,71,4.7,"Flutter,React Native,Swift"
C148,Advanced Cyber Security,Cyber Security,Advanced,74,4.4,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C191,Mastering React Native,Mobile Development,Intermediate,30,4.8,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C048,Advanced Data Visualization,Data Science,Advanced,81,4.9,"Data Visualization,NumPy,Pandas,Python"
C246,Professional CI/CD Pipelines,DevOps,Advanced,79,4.1,"CI/CD,Docker,Jenkins,Kubernetes,Linux"
C072,Basic Machine Learning,Machine Learning,Beginner,10,3.8,"Data Preprocessing,Feature Engineering,Machine Learning,Python,Scikit-Learn"
C100,Introduction to PyTorch for AI,Artificial Intelligence,Beginner,11,4.0,"Deep Learning,Generative AI,Neural Networks,PyTorch,Python"
C166,Basic Azure Fundamentals,Cloud Computing,Beginner,14,3.9,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C297,Expert Advanced Algorithms,Data Structures & Algorithms,Advanced,89,4.4,"Algorithms,Python,System Design"
C207,Advanced Topics in React Native,Mobile Development,Intermediate,37,3.7,"Android,Flutter,Kotlin,Swift,iOS"
C216,Advanced Topics in Figma for Designers,UI/UX Design,Intermediate,44,3.5,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C058,Expert Data Visualization,Data Science,Advanced,89,4.4,"Matplotlib,NumPy,Pandas,Python,Statistics"
C292,Fundamentals of DSA,Data Structures & Algorithms,Beginner,19,4.7,"Competitive Programming,Problem Solving,System Design"
C281,Deep Dive into DSA,Data Structures & Algorithms,Advanced,93,3.6,"Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C161,Intermediate Cloud Computing with AWS,Cloud Computing,Intermediate,45,4.1,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C221,Basic UI/UX Design,UI/UX Design,Beginner,7,3.9,"Figma,Prototyping,UX Design,User Research,Wireframing"
C287,Deep Dive into System Design Interviews,Data Structures & Algorithms,Advanced,96,4.1,"Algorithms,Competitive Programming,System Design"
C257,Advanced CI/CD Pipelines,DevOps,Advanced,66,5.0,"CI/CD,Jenkins,Terraform"
C015,Getting Started with React,Web Development,Beginner,18,4.1,"Angular,Express.js,Next.js"
C168,Mastering Azure Fundamentals,Cloud Computing,Intermediate,29,3.9,"AWS,Azure,Cloud Architecture,Serverless Computing"
C178,Getting Started with Azure Fundamentals,Cloud Computing,Beginner,5,4.7,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C082,Advanced Topics in Machine Learning,Machine Learning,Intermediate,39,4.8,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C054,Advanced Topics in Data Analysis with Python,Data Science,Intermediate,33,4.2,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C199,Mastering iOS with Swift,Mobile Development,Intermediate,26,4.3,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C019,Applied React,Web Development,Intermediate,29,5.0,"Angular,CSS,Frontend Development,HTML,JavaScript,MongoDB,React"
C298,Advanced Topics in System Design Interviews,Data Structures & Algorithms,Intermediate,34,4.5,"Data Structures,Problem Solving,Python"
C092,Fundamentals of Deep Learning with TensorFlow,Artificial Intelligence,Beginner,19,4.9,"Deep Learning,Generative AI,LLMs,Neural Networks,Python"
C043,Deep Dive into Data Science,Data Science,Advanced,53,4.4,"Data Visualization,Matplotlib,NumPy,Pandas,Statistics"
C144,Deep Dive into Ethical Hacking,Cyber Security,Advanced,67,4.2,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C276,Introduction to Advanced Algorithms,Data Structures & Algorithms,Beginner,10,4.5,"Algorithms,Competitive Programming,Data Structures,Problem Solving"
C002,Professional Node.js,Web Development,Advanced,93,4.9,"Angular,CSS,JavaScript,MongoDB,Node.js"
C106,Professional Deep Learning with TensorFlow,Artificial Intelligence,Advanced,81,4.3,"Deep Learning,Neural Networks,Python,TensorFlow"
C275,Advanced Topics in DSA,Data Structures & Algorithms,Intermediate,45,4.4,"Algorithms,Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C211,Deep Dive into Figma for Designers,UI/UX Design,Advanced,64,4.8,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C130,Getting Started with Cyber Security,Cyber Security,Beginner,13,4.4,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C009,Advanced Topics in Full-Stack Development,Web Development,Intermediate,41,4.1,"Angular,CSS,Express.js,HTML,JavaScript,MongoDB,Node.js,React"
C270,Mastering Docker & Kubernetes,DevOps,Intermediate,28,4.9,"CI/CD,Docker,Jenkins,Kubernetes,Linux"
C227,Fundamentals of User Experience Research,UI/UX Design,Beginner,19,4.3,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C027,Intermediate Web Development,Web Development,Intermediate,47,4.9,"CSS,Express.js,JavaScript,MongoDB,Next.js,Vue"
C154,Intermediate Azure Fundamentals,Cloud Computing,Intermediate,30,5.0,"AWS,Azure,Cloud Architecture,GCP,Serverless Computing"
C171,Getting Started with Cloud Computing with AWS,Cloud Computing,Beginner,18,4.1,"AWS,Azure,GCP,Serverless Computing"
C143,Advanced Topics in Cyber Security,Cyber Security,Intermediate,41,4.5,"Cryptography,Networking,Security Fundamentals"
C258,Professional DevOps,DevOps,Advanced,61,4.8,"CI/CD,Docker,Kubernetes,Terraform"
C116,Deep Dive into AI,Artificial Intelligence,Advanced,100,4.8,"Deep Learning,LLMs,Neural Networks,PyTorch,Python,TensorFlow"
C268,Basic Docker & Kubernetes,DevOps,Beginner,19,4.6,"CI/CD,Docker,Jenkins,Kubernetes,Terraform"
C212,Mastering Figma for Designers,UI/UX Design,Intermediate,27,4.1,"Figma,Prototyping,User Research,Wireframing"
C118,Introduction to Deep Learning with TensorFlow,Artificial Intelligence,Beginner,13,3.8,"Deep Learning,Generative AI,LLMs,Neural Networks"
